home_id,price,area,living_area,kitchen_area,number_of_rooms,status,furnishing_status,bathroom,floor,total_floors,built_year,address,with_makler,home_ad_link
1093,180000.0,173.0,138.4,34.6,3,new,furnished,shared,8,8,,Yakkasaroy,False,https://www.olx.uz/d/oz/obyavlenie/prodaetsya-3-komnatnaya-kvartira-173-kv-m-yakkasarajskij-rajon-tashkent-ID441vd.html
1094,450000.0,82.0,65.6,16.4,3,new,furnished,,2,9,,Mirobod,False,https://www.olx.uz/d/oz/obyavlenie/mirabad-avenue-sotuvda-3-xonalik-uy-remont-gospitalniy-kunaev-kochasi-ID41wmn.html
1095,185000.0,100.0,80.0,20.0,3,new,furnished,shared,15,25,,Mirzo-Ulug‘bek,False,https://www.olx.uz/d/oz/obyavlenie/akay-city-sotuvda-4-xonalik-uy-remont-darxon-h-olimjon-k-niyozov-ID3O1PM.html
1096,42000.0,42.0,33.6,8.4,2,new,unfurnished,shared,2,6,,Yashnobod,False,https://www.olx.uz/d/oz/obyavlenie/prodaetsyahaqiqiy-2komgrand-capital-42m2-grand-city-mechet-islom-ota-ID3ZaCS.html
1097,195000.0,97.0,77.6,19.4,3,new,furnished,,5,10,,Yunusobod,False,https://www.olx.uz/d/oz/obyavlenie/kiparis-sotuvda-3-xonalik-uy-remont-c-4-shedevr-ID40zZU.html
1098,134000.0,58.0,46.4,11.6,2,new,furnished,,7,9,,Yakkasaroy,False,https://www.olx.uz/d/oz/obyavlenie/parisien-sotuvda-2-xonalik-uy-remont-muqimiy-koprigi-yakkasaroy-ID3ZCvt.html
1099,450000.0,268.5,214.8,53.7,9,new,unfurnished,,8,9,,Yakkasaroy,False,https://www.olx.uz/d/oz/obyavlenie/parisien-sotuvda-9-xonalik-korobka-muqimiy-yakkasaroy-tumani-ID43YmB.html
1100,180000.0,117.0,93.6,23.4,4,new,unfurnished,,4,14,,Mirzo-Ulug‘bek,False,https://www.olx.uz/d/oz/obyavlenie/oz-mahal-sotuvda-4-xonalik-korobka-katta-darxon-novomoskovskiy-ID43w5K.html
1101,82700.0,65.0,52.0,13.0,2,new,furnished,shared,9,10,,Sirg‘ali,False,https://www.olx.uz/d/oz/obyavlenie/zhk-sputnik-srochno-2-xona-remontiblan-sotiladi-inbazar-green-park-ID3ZPv2.html
1102,175000.0,117.0,93.6,23.4,4,new,unfurnished,,15,25,,Mirzo-Ulug‘bek,False,https://www.olx.uz/d/oz/obyavlenie/akay-city-sotuvda-4-xonalik-korobka-h-olimjon-mirzo-ulugbek-ID43UAb.html
