price,area,living_area,kitchen_area,number_of_rooms,floor,total_floors,price_per_m2,furnishing_status_unfurnished,with_makler_True,address_Chilonzor,address_Chirchiq,address_Eshonguzar,address_Mirobod,address_Mirzo-Ulug‘bek,address_Nazarbek,address_Olmazor,address_Shayxontohur,address_Sirg‘ali,address_To'ytepa,address_Uchtepa,address_Yakkasaroy,address_Yashnobod,address_Yunusobod
45000.0,57.0,55.0,15.0,2,16,16,789.4736842105264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
80000.0,103.0,82.4,20.6,3,3,8,776.6990291262136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53000.0,63.0,26.0,12.0,2,2,6,841.2698412698413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57000.0,40.0,40.0,12.0,2,2,3,1425.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
135000.0,100.0,5151.0,15.0,4,3,8,1350.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
56000.0,61.0,48.8,12.2,2,7,8,918.0327868852459,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56000.0,49.0,39.2,9.8,2,3,5,1142.857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76500.0,84.0,67.2,16.8,3,3,9,910.7142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
47000.0,60.0,48.0,12.0,2,14,16,783.3333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
75000.0,78.0,78.0,78.0,3,2,7,961.5384615384615,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82000.0,70.0,70.0,14.0,3,3,8,1171.4285714285713,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12749.881945537541,36.0,36.0,9.0,1,10,16,354.1633873760428,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42500.0,52.0,50.0,10.4,1,4,8,817.3076923076923,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53000.0,68.0,36.0,13.6,3,15,16,779.4117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,80.0,64.0,16.0,3,4,4,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60000.0,50.5,40.4,10.1,2,4,4,1188.118811881188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51000.0,56.0,44.8,10.0,3,14,16,910.7142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38000.0,42.0,42.0,8.4,2,6,6,904.7619047619048,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33000.0,49.0,49.0,9.8,2,6,7,673.469387755102,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48500.0,56.0,44.8,11.2,2,4,7,866.0714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
